city,lat,lon,popul,country
Istres,43.5151,4.9895,43133,France
Bourg-en-Bresse,46.2056,5.2289,41527,France
Castres,43.6,2.25,41636,France
Ales,44.1281,4.0817,40219,France
Thionville,49.3589,6.1692,40701,France
Gap,44.5594,6.0786,40895,France
Compiegne,49.4149,2.8231,40199,France
Colomiers,43.6139,1.3367,38951,France
Anglet,43.485,-1.5183,38929,France
Draguignan,43.5403,6.4667,39340,France
Joue-les-Tours,47.3514,0.6625,37893,France
Montlucon,46.3408,2.6033,35653,France
La Ciotat,43.1769,5.6086,35174,France
Saint-Chamond,45.4775,4.5153,34967,France
Villenave-d'Ornon,44.7806,-0.5658,34090,France
Saint-Raphael,43.4252,6.7684,35042,France
Auxerre,47.7986,3.5672,34634,France
Macon,46.3063,4.8313,33638,France
Meyzieu,45.7667,5.0036,33477,France
Haguenau,48.82,7.79,34504,France
Marignane,43.416,5.2145,32920,France
Vitrolles,43.46,5.2486,33310,France
Cambrai,50.1767,3.2356,32558,France
Romans-sur-Isere,45.0464,5.0517,33160,France
Six-Fours-les-Plages,43.1009,5.82,32829,France
Plaisir,48.8183,1.9472,31419,France
Chatellerault,46.8178,0.5461,31840,France
Dreux,48.7372,1.3664,31044,France
Maubeuge,50.2775,3.9734,29944,France
Saint-Medard-en-Jalles,44.8964,-0.7164,31145,France
Draveil,48.6852,2.408,28833,France
Mont-de-Marsan,43.89,-0.5,29554,France
Decines-Charpieu,45.7694,4.9594,28602,France
Saint-Etienne-du-Rouvray,49.3786,1.105,28641,France
Vienne,45.5242,4.8781,29306,France
Bourgoin-Jallieu,45.5861,5.2736,28387,France
Orange,44.1383,4.8097,28919,France
Agde,43.3108,3.4758,28609,France
Carpentras,44.0558,5.0489,28309,France
Tournefeuille,43.5853,1.3442,26962,France
Illkirch-Graffenstaden,48.53,7.72,26780,France
Miramas,43.5822,5.0019,26470,France
Rambouillet,48.6444,1.8308,26736,France
Lunel,43.6778,4.1361,26239,France
Biarritz,43.48,-1.56,25404,France
Bergerac,44.85,0.48,26833,France
Gonesse,48.9875,2.4494,25999,France
Henin-Beaumont,50.4217,2.9508,26022,France
Orvault,47.2717,-1.6225,26355,France
Cavaillon,43.8375,5.0381,26641,France
Saumur,47.26,-0.0769,26734,France
Sens,48.1975,3.2877,25935,France
Gradignan,44.7725,-0.6156,25552,France
Montbeliard,47.51,6.8,25395,France
Saint-Dizier,48.6383,4.9497,26300,France
La Garde,43.1256,6.0108,25126,France
Aurillac,44.9261,2.4406,25499,France
La Teste-de-Buch,44.62,-1.1457,26078,France
Vierzon,47.2225,2.0694,25903,France
Libourne,44.92,-0.24,24845,France
Saintes,45.7464,-0.6333,25470,France
Blagnac,43.6364,1.3906,24517,France
Saint-Ouen-l'Aumone,49.0447,2.1111,23741,France
Etampes,48.4343,2.1615,25092,France
Laon,49.5639,3.6244,24876,France
Muret,43.4611,1.3267,24945,France
Rochefort,45.9421,-0.9588,24151,France
Eysines,44.8853,-0.65,23462,France
Vertou,47.1689,-1.4697,24219,France
Roissy-en-Brie,48.7906,2.6519,22994,France
Vernon,49.09,1.49,23872,France
Dole,47.0931,5.4906,23708,France
Lanester,47.7647,-3.3422,22728,France
Herouville-Saint-Clair,49.2044,-0.3253,22954,France
Grande-Synthe,51.0139,2.3028,22966,France
Combs-la-Ville,48.67,2.56,22383,France
Abbeville,50.1058,1.8358,22946,France
Epernay,49.0403,3.96,22671,France
Frontignan,43.4483,3.7561,22762,France
Mandelieu-la-Napoule,43.5464,6.9381,22452,France
Thorigny-sur-Marne,48.8788,2.7075,21356,France
Dammarie-le-Lys,48.5177,2.6402,21835,France
Oyonnax,46.2561,5.6556,22427,France
Olivet,47.8639,1.9006,21951,France
Le Creusot,46.8014,4.4411,21630,France
Saint-Genis-Laval,45.696,4.793,21217,France
Forbach,49.19,6.9,21552,France
Manosque,43.8342,5.7839,22333,France
Saint-Louis,47.59,7.57,21177,France
Villeneuve-sur-Lot,44.4081,0.705,22064,France
Chaumont,48.1117,5.1389,21945,France
Millau,44.0986,3.0783,22109,France
Fougeres,48.3525,-1.1986,20418,France
Auch,43.6465,0.5855,21935,France
Hazebrouck,50.725,2.5392,21441,France
Saint-Jean-de-Braye,47.9128,1.9719,20751,France
Halluin,50.7836,3.1256,20800,France
Gif-sur-Yvette,48.7018,2.1339,21379,France
Lisieux,49.15,0.23,20318,France
Castelnau-le-Lez,43.6369,3.9019,20480,France
Montereau-faut-Yonne,48.3853,2.9508,20206,France
Dax,43.71,-1.05,20681,France
Coueron,47.2156,-1.7228,21372,France
Beaune,47.025,4.8397,21031,France
Les Pennes-Mirabeau,43.4106,5.3103,21046,France
Ozoir-la-Ferriere,48.778,2.68,20331,France
Gardanne,43.4553,5.476,20794,France
Gujan-Mestras,44.6364,-1.0667,21152,France
Allauch,43.3369,5.4828,21187,France
Sarreguemines,49.11,7.07,20783,France
Cournon-d'Auvergne,45.7422,3.1972,20043,France
Voiron,45.3642,5.5906,20108,France
Challans,46.8467,-1.8781,20662,France
Pertuis,43.695,5.5036,20380,France
Comines,50.7611,3.0078,12358,France
Leers,50.6817,3.2439,9473,France
Jeumont,50.2944,4.1014,10159,France
Mont-Saint-Martin,49.5406,5.7794,8807,France
Coutances,49.0453,-1.4453,8501,France
Chamonix-Mont-Blanc,45.9222,6.8689,8611,France
Quievrechain,50.3953,3.6669,6366,France
Wissembourg,49.0375,7.9461,7537,France
Petite-Rosselle,49.2117,6.8575,6338,France
Givet,50.1381,4.8242,6749,France
Wervicq-Sud,50.7722,3.0478,5413,France
Delle,47.5069,6.9981,5690,France
